,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
0,3.0,1600027528,2.5,6.25,0,0,0,0.8333333333333334
1,3.0,1600027528,3.0,9.0,0,0,0,1.0
2,3.0,1600027528,3.5,12.25,0,0,0,1.1666666666666667
3,3.0,1600027564,2.5,6.25,0,0,0,0.8333333333333334
4,3.0,1600027564,3.0,9.0,0,0,0,1.0
5,3.0,1600027564,3.5,12.25,0,0,0,1.1666666666666667
6,3.0,3000006340,2.5,6.25,0,0,0,0.8333333333333334
7,3.0,3000006340,3.0,9.0,0,0,0,1.0
8,3.0,3000006340,3.5,12.25,0,0,0,1.1666666666666667
9,3.0,3800031829,2.5,6.25,0,0,0,0.8333333333333334
10,3.0,3800031829,3.0,9.0,0,0,0,1.0
11,3.0,3800031829,3.5,12.25,0,0,0,1.1666666666666667
