AVG_PRICE_VALUE,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
3.0,1600027528,2.5,6.25,0,0,0,0.8333333333333334
3.0,1600027528,3.0,9.0,0,0,0,1.0
3.0,1600027528,3.5,12.25,0,0,0,1.1666666666666667
3.0,1600027564,2.5,6.25,0,0,0,0.8333333333333334
3.0,1600027564,3.0,9.0,0,0,0,1.0
3.0,1600027564,3.5,12.25,0,0,0,1.1666666666666667
3.0,3000006340,2.5,6.25,0,0,0,0.8333333333333334
3.0,3000006340,3.0,9.0,0,0,0,1.0
3.0,3000006340,3.5,12.25,0,0,0,1.1666666666666667
3.0,3800031829,2.5,6.25,0,0,0,0.8333333333333334
3.0,3800031829,3.0,9.0,0,0,0,1.0
3.0,3800031829,3.5,12.25,0,0,0,1.1666666666666667
