WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,CATEGORY,SUB_CATEGORY,SUMPRICE,COUNTPRICE,AVGPRICE,RELPRICE,PRICE_p2
2009-01-14,367,1111085319,14,13,13,26.32,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.6734902763561924,3.5343999999999998
2009-01-14,367,1111085350,35,27,25,69.3,1.98,1.98,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.7093142272262026,3.9204
2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.1427840327533265,10.1761
2009-01-14,367,1600027528,31,26,19,142.29,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.6443193449334699,21.068099999999998
2009-01-14,367,1600027564,56,48,42,152.32,2.72,3.07,1,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.9744114636642784,7.398400000000001
2009-01-14,367,3000006340,19,17,17,38.76,2.04,2.74,0,0,1,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.7308085977482088,4.1616
2009-01-14,367,3800031829,14,11,3,43.96,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.1248720573183215,9.8596
2009-01-21,367,1111085319,12,12,12,22.68,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.6591928251121076,3.5721
2009-01-21,367,1111085350,33,25,25,66.0,2.0,2.0,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.6975585450921774,4.0
2009-01-21,367,1600027527,7,7,7,22.33,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.112605879422023,10.1761
2009-01-21,367,1600027528,24,19,11,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.600896860986547,21.068099999999998
2009-01-21,367,1600027564,36,23,23,96.48,2.68,3.07,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.9347284504235178,7.182400000000001
2009-01-21,367,3000006340,9,8,7,23.22,2.58,2.58,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.8998505231689089,6.6564000000000005
2009-01-21,367,3800031829,17,13,6,53.38,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.0951669157947186,9.8596
2009-01-28,367,1111085319,18,17,16,33.66,1.87,1.87,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.6314520019295707,3.4969000000000006
2009-01-28,367,1111085350,30,21,20,60.3,2.01,2.01,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.6787264833574529,4.040099999999999
2009-01-28,367,1600027527,9,9,9,28.71,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0771828268210324,10.1761
2009-01-28,367,1600027528,27,21,7,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.5499276410998553,21.068099999999998
2009-01-28,367,1600027564,20,20,15,63.8,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0771828268210324,10.1761
2009-01-28,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.925229136517125,7.507600000000001
2009-01-28,367,3800031829,23,19,8,72.22,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0602990834539316,9.8596
2009-02-04,367,1111085319,13,13,13,24.44,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.6351351351351351,3.5343999999999998
2009-02-04,367,1111085350,38,31,30,75.62,1.99,1.99,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.6722972972972973,3.9601
2009-02-04,367,1600027527,18,17,16,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.0777027027027026,10.1761
2009-02-04,367,1600027528,28,24,13,128.52,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.5506756756756757,21.068099999999998
2009-02-04,367,1600027564,16,14,10,51.04,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.0777027027027026,10.1761
2009-02-04,367,3000006340,5,5,2,13.7,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.9256756756756758,7.507600000000001
2009-02-04,367,3800031829,25,23,10,78.5,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.060810810810811,9.8596
