WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
2009-01-14,367,1111009477,13,13,13,18.07,1.39,1.57,0,0,1
2009-01-14,367,1111009497,20,18,18,27.8,1.39,1.39,0,0,0
2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0
2009-01-14,367,1600027564,56,48,42,152.32,2.72,3.07,1,0,0
2009-01-14,367,3800031838,36,35,34,106.56,2.96,2.96,0,0,0
2009-01-14,387,1111009477,111,98,94,154.29,1.39,1.39,0,0,0
2009-01-14,387,1111009497,92,90,89,127.88,1.39,1.39,0,1,0
2009-01-14,387,1600027527,74,65,65,226.44,3.06,3.06,0,0,0
2009-01-14,387,1600027564,65,53,53,163.15,2.51,2.82,1,0,0
2009-01-14,387,3800031838,29,29,29,82.94,2.86,2.86,0,0,0
2009-01-14,389,1111009477,71,68,68,98.69,1.39,1.39,0,0,0
2009-01-14,389,1111009497,78,68,66,106.86,1.37,1.37,0,0,0
2009-01-14,389,1600027527,52,51,51,156.52,3.01,3.01,0,0,0
2009-01-14,389,1600027564,147,122,121,358.68,2.44,2.7,1,0,0
2009-01-14,389,3800031838,54,53,52,152.28,2.82,2.82,0,0,0
2009-01-14,613,1111009477,76,66,66,93.48,1.23,1.23,0,1,0
2009-01-14,613,1111009497,86,77,76,106.64,1.24,1.24,0,1,0
2009-01-14,613,1600027527,47,44,44,149.93,3.19,3.19,0,0,0
2009-01-14,613,1600027564,41,37,36,121.36,2.96,2.96,0,0,0
2009-01-14,613,3800031838,47,45,42,140.53,2.99,2.99,0,0,0
2009-01-14,623,1111009477,33,28,28,38.28,1.16,1.16,0,1,0
2009-01-14,623,1111009497,42,39,38,49.56,1.18,1.18,0,1,0
2009-01-14,623,1600027527,57,55,54,181.83,3.19,3.19,0,0,0
2009-01-14,623,1600027564,30,26,26,91.2,3.04,3.04,0,0,0
2009-01-14,623,3800031838,37,36,36,106.93,2.89,2.89,0,0,0
2009-01-14,2277,1111009477,158,140,135,218.04,1.38,1.24,0,1,0
2009-01-14,2277,1111009497,179,161,157,247.02,1.38,1.24,0,1,0
2009-01-14,2277,1600027527,125,114,112,360.0,2.88,2.88,0,0,0
2009-01-14,2277,1600027564,260,214,212,618.8,2.38,3.09,1,0,0
2009-01-14,2277,3800031838,62,61,60,167.4,2.7,2.7,0,0,0
2009-01-14,2279,1111009477,66,62,62,91.08,1.38,1.38,0,0,0
2009-01-14,2279,1111009497,71,60,59,97.98,1.38,1.38,0,0,0
2009-01-14,2279,1600027527,36,35,34,105.12,2.92,2.92,0,0,0
2009-01-14,2279,1600027564,113,90,89,270.07,2.39,2.96,1,0,0
2009-01-14,2279,3800031838,29,28,28,86.71,2.99,2.99,0,0,0
2009-01-14,2281,1111009477,65,56,54,89.05,1.37,1.37,0,0,0
2009-01-14,2281,1111009497,51,46,45,69.87,1.37,1.37,0,0,0
2009-01-14,2281,1600027527,53,51,51,153.17,2.89,2.89,0,0,0
2009-01-14,2281,1600027564,215,179,175,552.55,2.57,2.88,1,0,0
2009-01-14,2281,3800031838,49,49,48,137.69,2.81,2.81,0,0,0
2009-01-14,2495,1111009477,43,37,37,50.74,1.18,1.18,0,0,0
2009-01-14,2495,1111009497,21,21,20,24.99,1.19,1.19,0,0,0
2009-01-14,2495,1600027527,37,36,36,118.03,3.19,3.19,0,0,0
2009-01-14,2495,1600027564,37,36,36,103.6,2.8,3.14,0,0,1
2009-01-14,2495,3800031838,31,30,30,89.59,2.89,2.89,0,0,0
2009-01-14,2505,1111009477,34,32,32,39.78,1.17,1.16,0,1,0
2009-01-14,2505,1111009497,31,27,27,35.96,1.16,1.0,0,1,0
2009-01-14,2505,1600027527,22,22,22,67.1,3.05,3.05,0,0,0
2009-01-14,2505,1600027564,7,7,7,18.83,2.69,3.14,0,0,1
2009-01-14,2505,3800031838,22,22,21,63.58,2.89,2.89,0,0,0
2009-01-14,2513,1111009477,42,37,36,49.56,1.18,1.17,0,1,0
2009-01-14,2513,1111009497,16,15,15,18.72,1.17,1.18,0,1,0
2009-01-14,2513,1600027527,122,119,115,389.18,3.19,3.19,0,0,0
2009-01-14,2513,1600027564,111,106,103,323.01,2.91,2.91,0,0,0
2009-01-14,2513,3800031838,34,34,34,89.76,2.64,2.64,0,0,0
2009-01-14,2523,1111009477,29,22,17,36.25,1.25,1.25,0,0,0
2009-01-14,2523,1111009497,17,16,16,20.74,1.22,1.22,0,0,0
2009-01-14,2523,1600027527,30,29,28,92.4,3.08,3.08,0,0,0
2009-01-14,2523,1600027564,8,8,6,25.52,3.19,3.19,0,0,0
2009-01-14,2523,3800031838,13,13,13,38.87,2.99,2.99,0,0,0
2009-01-14,2541,1111009477,42,40,39,49.98,1.19,1.21,0,1,0
2009-01-14,2541,1111009497,38,34,33,45.98,1.21,1.25,0,1,0
2009-01-14,2541,1600027527,14,12,12,44.66,3.19,3.19,0,0,0
2009-01-14,2541,1600027564,13,12,12,38.48,2.96,2.96,0,0,0
2009-01-14,2541,3800031838,10,10,10,29.9,2.99,2.99,0,0,0
2009-01-14,4245,1111009477,69,60,60,95.22,1.38,1.38,0,0,0
2009-01-14,4245,1111009497,62,58,57,86.18,1.39,1.39,0,0,0
2009-01-14,4245,1600027527,40,38,38,124.4,3.11,3.11,0,0,0
2009-01-14,4245,1600027564,103,84,84,248.23,2.41,2.88,1,0,0
2009-01-14,4245,3800031838,36,34,34,104.76,2.91,2.91,0,0,0
2009-01-14,4259,1111009477,31,29,28,42.47,1.37,1.37,0,0,0
2009-01-14,4259,1111009497,29,26,25,39.73,1.37,1.37,0,0,0
2009-01-14,4259,1600027527,20,20,20,60.8,3.04,3.04,0,0,0
2009-01-14,4259,1600027564,74,61,52,198.32,2.68,3.11,1,0,0
2009-01-14,4259,3800031838,64,64,62,191.36,2.99,2.99,0,0,0
2009-01-14,4489,1111009477,36,33,33,42.48,1.18,1.18,0,0,0
2009-01-14,4489,1111009497,45,45,45,52.65,1.17,1.17,0,0,0
